sa_advertising,sa_ann_rep_months,sa_avg_total_assets_net_of_reval,sa_building_net_addn_in_yr,sa_cf_net_frm_op_activity,sa_comm_equip_net_addn_in_yr,sa_company_name,sa_computer_it_net_addn_in_yr,sa_elec_install_fitting_net_addn_in_yr,sa_extra_ordi_inc,sa_finance1_cocode,sa_finance1_year,sa_gfa_net_addn_in_yr,sa_net_furn_social_oth_fxd_ast,sa_pat,sa_plant_net_addn_in_yr,sa_rnd_exp,sa_sales,sa_sw_net_addn_in_yr,sa_total_assets,sa_transport_infra_net_addn_in_yr,sa_transport_veh_net_addn_in_yr
,12,79.65,,20.0,,ADARSH PLANT PROTECT LTD.,,0.1,,5843,20150331,0.3,,-7.3,,,99.1,,78.8,,0.2
,12,34.35,,3.1,,ADCON CAPITAL SERVICES LTD.,0.1,,,5888,20150331,0.1,,0.2,,,,,34.5,,
,12,198.95,,-6.9,,ADDI INDUSTRIES LTD.,,,9.5,5921,20150331,-1.3,-0.1,9.0,-1.2,,2.0,,202.4,,
,12,218.4,,-130.9,,ACIL COTTON INDS. LTD.,,,,5994,20150331,,,-142.6,,,38.4,,166.0,,
0.1,12,60.55,,-2.7,,ADHARSHILA CAPITAL SERVICES LTD.,,,,6011,20150331,,,0.8,,,,,62.3,,
0.1,12,595.2,,-4.8,,ADHBHUT INFRASTRUCTURE LTD.,,,,6016,20150630,,,8.3,,,11.5,,579.5,,
,12,1.25,,0.3,,ADI RASAYAN LTD.,,,,6097,20150331,,,0.2,,,0.9,,0.5,,
,12,72.65,,3.3,,ADINATH EXIM RESOURCES LTD.,,,,6136,20150331,,,2.3,,,,,74.1,,
0.1,12,45.45,,-5.2,,ADINATH TEXTILES LTD.,,,,6166,20150331,,,3.2,,,8.9,,44.9,,
,12,31.7,,-6.0,,BLUE CLOUD SOFTECH SOLUTIONS LTD.,,-0.7,0.2,6226,20150331,-6.0,,0.1,-5.3,,6.5,,31.5,,
,12,108.95,,-20.2,,ADITYA FORGE LTD.,,,0.3,6342,20150331,-21.8,,-46.3,-21.8,,19.0,,82.1,,
0.1,12,11.25,,-0.3,,ARIS INTERNATIONAL LTD.,,,,6347,20150331,,,0.0,,,0.9,,8.6,,
,12,192.3,2.9,36.3,,ADITYA ISPAT LTD.,,,,6348,20150331,11.8,,3.2,8.9,,342.4,,194.7,,
