co_code,,,,,
20138,ARORA FIBRES LTD.,20040802,0.1082,NA,0.0732
20327,ARROW GREENTECH LTD.,20040802,0.4961,NA,2.4303
20357,ARROW WEBTEX LTD. [MERGED],20040802,0.4335,NA,14.3268
20554,ARTSON ENGINEERING LTD.,20040802,NA,NA,-6.3705
20868,ARUNODAY MILLS LTD.,20040802,NA,NA,-26.6
21009,ARVIND INTERNATIONAL LTD.,20040802,0.1063,NA,0.814
21042,ARVIND LTD.,20040802,1.3201,1.321,4.4263
21058,ARVIND PRODUCTS LTD. [MERGED],20040802,2.1615,NA,-0.5843
21066,ARVIND REMEDIES LTD.,20040802,1.0055,1.033,0.0765
21283,ASAHI INDIA GLASS LTD.,20040802,5.8114,5.817,8.6076
21358,ASCENT EXIM (INDIA) LTD.,20040802,0.6474,NA,5.562
21420,A B B INDIA LTD.,20040802,4.7733,4.7813,27.9862
21575,ASHAPURA MINECHEM LTD.,20040802,1.3309,1.3369,17.3751
21611,ASHCO NIULAB INDS. LTD.,20040802,0.2443,NA,2.8325
21663,ASHIANA HOUSING LTD.,20040802,0.4059,NA,9.1909
21667,ASHIANA ISPAT LTD.,20040802,0.3127,NA,0.1568
21707,ASHIMA LTD.,20040802,NA,NA,-28.0891
21964,ASHOK ALCO-CHEM LTD.,20040802,NA,NA,-10.7164
22104,ASHOK LEYLAND LTD.,20040802,2.3483,2.3258,1.7542
22793,ASIAN ELECTRONICS LTD.,20040802,0.533,0.5322,6.2688
22819,ASIAN HOTELS (NORTH) LTD.,20040802,1.4437,1.4399,5.4509
22823,KOHINOOR TECHNO ENGINEERS LTD.,20040802,0.3577,NA,-0.239
22855,ASIAN OILFIELD SERVICES LTD.,20040802,0.5211,NA,0.4853
22859,ASIAN PAINTS LTD.,20040802,5.4309,5.4352,14.9698
22900,ASIAN TEA & EXPORTS LTD.,20040802,0.3179,NA,0.4714
23217,ASSAM COMPANY INDIA LTD.,20040802,0.7028,NA,-10.9035
23287,ASSAMBROOK LTD.,20040802,0.4746,NA,-23.0758
23354,A C C LTD.,20040802,3.024,3.0227,11.1998
23463,HIND ALUMINIUM INDS. LTD.,20040802,0.4433,NA,4.7998
23668,ASTRA MICROWAVE PRODUCTS LTD.,20040802,6.8818,NA,17.9995
23709,ASTRAZENECA PHARMA INDIA LTD.,20040802,4.153,4.1523,50.9
23885,ATCOM TECHNOLOGIES LTD.,20040802,NA,NA,-54.4329
24101,ATLAS COPCO (INDIA) LTD.,20040802,3.9222,NA,31.1149
24106,ATLAS CYCLES (HARYANA) LTD.,20040802,0.3533,0.3514,10.8551
24306,ATUL AUTO LTD.,20040802,0.6058,NA,4.0736
24381,ATUL LTD.,20040802,0.4005,0.4016,-0.0539
24663,AURO LABORATORIES LTD.,20040802,0.248,NA,-0.3851
24685,AUROBINDO PHARMA LTD.,20040802,2.2697,2.3087,24.1028
24774,AUSTIN ENGINEERING CO. LTD.,20040802,0.1516,NA,0.916
24921,AUTOLITE (INDIA) LTD.,20040802,NA,NA,-17.7014
