co_code,company_name,co_stkdate,bse_pb,nse_pb,eps_on_stkdate
29203,BAL PHARMA LTD.,20050801,1.4474,NA,1.7901
29258,BALAJI AMINES LTD.,20050801,4.9581,NA,22.2326
29294,BALAJI DISTILLERIES LTD. [MERGED],20050801,NA,NA,-6.512
29433,BALAJI TELEFILMS LTD.,20050801,3.5531,3.5271,6.4882
29657,BALKRISHNA INDUSTRIES LTD.,20050801,7.7602,NA,53.2855
29678,BALLARPUR INDUSTRIES LTD.,20050801,1.265,1.2738,10.3553
29703,BALMER LAWRIE & CO. LTD.,20050801,2.7072,2.7189,19.311
29706,BALMER LAWRIE-VAN LEER LTD.,20050801,1.5995,NA,1.7458
29728,BALRAMPUR CHINI MILLS LTD.,20050801,3.4521,3.4499,7.0133
29785,BALURGHAT TECHNOLOGIES LTD.,20050801,0.5746,NA,-2.3901
29808,COMMEX TECHNOLOGY LTD.,20050801,16.5965,NA,0.0196
29826,BAMBINO AGRO INDS. LTD.,20050801,1.012,NA,0.2755
29843,BAMPSL SECURITIES LTD.,20050801,1.0314,NA,2.1504
29909,BANCO PRODUCTS (INDIA) LTD.,20050801,1.6248,NA,15.708
30136,BANK OF BARODA,20050801,1.2639,1.269,18.4396
30148,BANK OF INDIA,20050801,1.5652,1.5821,7.1576
30153,BANK OF MAHARASHTRA,20050801,0.9406,0.9406,2.2382
30156,BANK OF PUNJAB LTD. [MERGED],20050801,1.9743,1.9797,-9.5171
30157,BANK OF RAJASTHAN LTD. [MERGED],20050801,1.7573,1.759,-4.0747
30230,BANNARI AMMAN SUGARS LTD.,20050801,3.0015,3.0507,50.9974
30442,BANSWARA SYNTEX LTD.,20050801,0.8522,NA,-6.343
30882,BASANT AGRO TECH (INDIA) LTD.,20050801,0.6253,NA,4.3641
31130,BATA INDIA LTD.,20050801,4.4148,4.413,-6.9573
31182,BATLIBOI LTD.,20050801,4.4987,NA,4.2959
31364,BAYER CROPSCIENCE LTD.,20050801,3.061,NA,5.4457
31365,INEOS STYROLUTION INDIA LTD.,20050801,1.255,1.2539,3.2527
31367,SIEMENS HEALTHCARE DIAGNOSTICS LTD. [MERGED],20050801,2.0132,NA,35.3463
31769,BEEYU OVERSEAS LTD.,20050801,1.1973,NA,0.579
31873,BELAPUR INDUSTRIES LTD.,20050801,88.2433,NA,-4.3718
31927,BELL CERAMICS LTD. [MERGED],20050801,1.4969,1.4992,3.7869
31979,BELLARY STEELS & ALLOYS LTD.,20050801,NA,NA,-9.9145
32084,BENARES HOTELS LTD.,20050801,2.5419,NA,20.6923
32255,BENGAL TEA & FABRICS LTD.,20050801,0.7071,NA,0.6163
32433,BERGER PAINTS INDIA LTD.,20050801,5.3408,5.3454,2.9149
32581,BEST EASTERN HOTELS LTD.,20050801,4.4333,NA,2.3739
32731,BETALA GLOBAL SECURITIES LTD.,20050801,1.2107,NA,0.0182
32984,BHAGAWATI GAS LTD.,20050801,1.0965,NA,-8.5431
32996,BHAGERIA INDUSTRIES LTD.,20050801,0.6806,NA,1.4728
33012,BHAGHEERATHA ENGINEERING LTD.,20050801,2.1747,NA,-24.5338
33015,BHAGIRADHA CHEMICALS & INDS. LTD.,20050801,6.4323,NA,13.2476
33084,VYAPAR INDUSTRIES LTD.,20050801,3.9156,NA,17.598
