21943,LESHA INDUSTRIES LTD.
21949,ASHNOOR TEXTILE MILLS LTD.
21964,ASHOK ALCO-CHEM LTD.
22104,ASHOK LEYLAND LTD.
22138,KUMAKA INDUSTRIES LTD.
22247,ASHOKA BUILDCON LTD.
22322,ASHOKA REFINERIES LTD.
22398,ASHRAM ONLINE.COM LTD.
22488,TRIDEV INFRAESTATES LTD.
22639,ASIA AUTOMOTIVE LTD.
22651,NINE MEDIA & INFORMATION SERVICES LTD.
22659,BLACK ROSE INDS. LTD.
22701,ASIA PACK LTD.
22753,ASIAN ALLOYS LTD.
22760,ASIAN BEARING LTD.
22773,RELIGARE TECHNOVA GLOBAL SOLUTIONS LTD. [MERGED]
22793,ASIAN ELECTRONICS LTD.
22800,ASIAN FERTILIZERS LTD.
22807,ASIAN FLORA LTD.
22808,ASIAN FOOD PRODUCTS LTD.
22819,ASIAN HOTELS (NORTH) LTD.
22823,KOHINOOR TECHNO ENGINEERS LTD.
22839,ASIAN LAKTO INDS. LTD.
22855,ASIAN OILFIELD SERVICES LTD.
22859,ASIAN PAINTS LTD.
22896,ASIAN STAR CO. LTD.
22900,ASIAN TEA & EXPORTS LTD.
22910,ASIAN VEGPRO INDS. LTD.
22921,GLOBAL INFRATECH & FINANCE LTD.
23002,SHREEJAL INFO HUBS LTD.
23150,ASPINWALL & CO. LTD.
23217,ASSAM COMPANY INDIA LTD.
23249,ASSAM PETROCHEMICALS LTD.
23287,ASSAMBROOK LTD.
23320,ASSOCIATED ALCOHOLS & BREWERIES LTD.
23354,A C C LTD.
23355,ASSOCIATED CERAMICS LTD.
23356,REAL TOUCH FINANCE LTD.
23397,MIDAS INFRA TRADE LTD.
23434,ASSOCIATED MARMO & GRANITES LTD.
23463,HIND ALUMINIUM INDS. LTD.
23482,ASSOCIATED STONE INDS. (KOTAH) LTD.
23495,S R K INDUSTRIES LTD.
23561,ASTEC LIFESCIENCES LTD.
23668,ASTRA MICROWAVE PRODUCTS LTD.
23696,ASTRAL POLY TECHNIK LTD.
23709,ASTRAZENECA PHARMA INDIA LTD.
23760,ASUTOSH ENTERPRISES LTD.
23873,VAARAD VENTURES LTD.
24028,ATLANTA LTD.
24101,ATLAS COPCO (INDIA) LTD.
24106,ATLAS CYCLES (HARYANA) LTD.
24153,ATLAS SOYA PROTEINS LTD.
24182,ATMA STEELS LTD.
24230,KAVIT INDUSTRIES LTD.
24306,ATUL AUTO LTD.
24381,ATUL LTD.
24496,AKSHARCHEM (INDIA) LTD.
24570,AUNDE INDIA LTD.
24616,AURANGABAD PAPER MILLS LTD.
24663,AURO LABORATORIES LTD.
24685,AUROBINDO PHARMA LTD.
24697,AUROKNIT EXPORTS (INDIA) LTD.
24700,AUROMA COKE LTD.
24774,AUSTIN ENGINEERING CO. LTD.
24857,AUTO PINS (INDIA) LTD.
24919,AUTOLINE INDUSTRIES LTD.
24921,AUTOLITE (INDIA) LTD.
24967,AUTOMOBILE CORPN. OF GOA LTD.
24976,AUTOMOTIVE AXLES LTD.
25009,AUTOPAL INDUSTRIES LTD.
25020,AUTORIDERS FINANCE LTD.
25021,AUTORIDERS INTERNATIONAL LTD.
25089,AVAILABLE FINANCE LTD.
25159,AVANTEL LTD.
25176,AVANTI FEEDS LTD.
25177,SARTHAK GLOBAL LTD.
25188,SARTHAK INDUSTRIES LTD.
25290,SANOFI INDIA LTD.
25323,AVERY INDIA LTD.
25570,AVON MERCANTILE LTD.
25574,AVON LIFESCIENCES LTD.
25580,C N I RESEARCH LTD.
25600,AVON CORPORATION LTD.
25727,AXEL POLYMERS LTD.
25754,ELIXIR CAPITAL LTD.
25782,AXON VENTURES LTD.
25838,AYOKI MERCHANTILE LTD.
25932,GLOBAL VECTRA HELICORP LTD.
25979,AZTECSOFT LTD. [MERGED]
26006,B & A PACKAGING INDIA LTD.
26039,B 2 B SOFTWARE TECHNOLOGIES LTD.
26061,B A G FILMS & MEDIA LTD.
26076,B A S F INDIA LTD.
26213,HEMANG RESOURCES LTD.
26214,B C C FUBA INDIA LTD.
26260,B C L FORGINGS LTD.
26365,B D H INDUSTRIES LTD.
26474,B F L DEVELOPERS LTD.
26485,B F UTILITIES LTD.
26633,BILCARE LTD.
26647,B I T S LTD.
26658,B J DUPLEX BOARDS LTD.
26919,B L B LTD.
26964,B L KASHYAP & SONS LTD.
26990,B L S INFOTECH LTD.
27031,B M B MUSIC & MAGNETICS LTD.
27247,B N K CAPITAL MARKETS LTD.
27289,B N R UDYOG LTD.
27292,B N RATHI SECURITIES LTD.
27319,B NANJI ENTERPRISES LTD.
27347,LINDE INDIA LTD.
27347,LINDE INDIA LTD.
27378,B P CAPITAL LTD.
27423,B P L DISPLAY DEVICES LTD.
27428,B P L LTD.
27694,B S APPLIANCES LTD.
27739,B S E L INFRASTRUCTURE REALTY LTD.
27747,RELIANCE INFRASTRUCTURE LTD.
27766,ALLIANCE INTEGRATED METALIKS LTD.
27798,B S L LTD.
28058,B W L LTD.
28346,BACIL PHARMA LTD.
28469,BAFFIN ENGINEERING PROJECTS LTD.
28503,BAFNA PHARMACEUTICALS LTD.
28507,BAFNA SPINNING MILLS & EXPORTS LTD.
28516,BAGADIA COLOURCHEM LTD.
28754,BAHUMA POLYTEX LTD.
28785,BAID LEASING & FINANCE CO. LTD.
28897,BAJAJ FINANCE LTD.
28899,BAJAJ HOLDINGS & INVST. LTD.
28920,BAJAJ ELECTRICALS LTD.
28929,BAJAJ GLOBAL LTD.
28931,BAJAJ HEALTHCARE LTD.
28932,BAJAJ HINDUSTHAN SUGAR LTD.
28933,TRINITY BIO-TECH LTD.
28974,BAJAJ STEEL INDS. LTD.
28981,FORCE MOTORS LTD.
29040,BAJRANG FINANCE LTD.
29083,SANATHNAGAR ENTERPRISES LTD.
29203,BAL PHARMA LTD.
29220,BALA TECHNO GLOBAL LTD.
29221,BALA TECHNO INDS. LTD.
29258,BALAJI AMINES LTD.
