9681,CORE EDUCATION & TECHNOLOGIES LTD.,27022.9,0.05869096210991418
9780,HUBTOWN LTD.,44351.0,0.007170075082861716
9793,AKSH OPTIFIBRE LTD.,4879.1,0.0719190014551864
10133,ALACRITY HOUSING LTD.,42.9,-0.09324009324009325
10135,ALACRITY SECURITIES LTD.,330.6,-0.025408348457350273
10158,SAI JEEVADHARA FINANCE LTD.,6.6,-0.030303030303030307
10220,ALAN SCOTT INDS. LTD.,6.4,0.04687499999999999
10229,ALANG INDUSTRIAL GASES LTD.,46.4,-0.0021551724137931034
10231,ALANG MARINE LTD.,62.7,0.001594896331738437
10376,ALBERT DAVID LTD.,2056.8,0.04171528588098016
10397,RHODIA SPECIALTY CHEMICALS INDIA LTD.,1722.4,0.4280074314909429
10564,SHRENO LTD.,2367.1,0.029445312830045204
10566,ALEMBIC LTD.,4328.0,0.026548059149722737
10674,ALFA ICA (INDIA) LTD.,,
10678,ALFA LAVAL (INDIA) LTD.,,
10714,ALFA TRANSFORMERS LTD.,448.4,-0.07917038358608386
10735,ALFAVISION OVERSEAS (INDIA) LTD.,,
10752,ALFRED HERBERT (INDIA) LTD.,,
10853,ALKA DIAMOND INDS. LTD.,177.5,0.010704225352112675
10866,ALKA SECURITIES LTD.,186.5,-0.01876675603217158
10867,ALKA INDIA LTD.,445.3,-0.015944307208623398
10872,ALKALI METALS LTD.,1031.2,0.04615981380915438
10884,ALKEM LABORATORIES LTD.,31948.4,0.15555082570645165
10903,ALKYL AMINES CHEMICALS LTD.,2934.6,0.08154433312887617
11019,ALLAHABAD BANK,1829576.1,0.0064785498673709165
11063,ALLCARGO LOGISTICS LTD.,20677.2,0.05764803745187936
11259,AVONMORE CAPITAL & MGMT. SERVICES LTD.,514.0,-0.0009727626459143969
11262,ALMONDZ GLOBAL SECURITIES LTD.,1697.3,0.0001178342072703706
11284,RAP MEDIA LTD.,567.4,-0.0007049700387733521
11303,ALLIED DIGITAL SERVICES LTD.,8404.1,-0.012113135255411049
11443,ALLSEC TECHNOLOGIES LTD.,1396.0,-0.023853868194842406
11445,ALLSOFT CORPORATION LTD.,840.9,0.0009513616363420146
11554,ALNA TRADING & EXPORTS LTD.,16.2,0.01234567901234568
11599,ALOK INDUSTRIES LTD.,183341.8,0.05022749858461083
11654,ALORA TRADING CO. LTD.,3.9,0.0
11664,ALPA LABORATORIES LTD.,1304.2,-0.03350713080815826
11760,ALPHA GRAPHIC INDIA LTD.,241.1,0.000414765657403567
11764,ALPHA HI-TECH FUEL LTD.,56.7,-0.17989417989417988
11853,ALPHAGEO (INDIA) LTD.,,
11885,ALPINE CAPITAL SERVICES LTD.,30.5,0.009836065573770491
11905,ALPINE HOUSING DEVP. CORPN. LTD.,1316.4,0.00850805226374962
11955,ALPS INDUSTRIES LTD.,10951.5,-0.10528238140893942
11961,ALPS MOTOR FINANCE LTD.,39.0,0.002564102564102564
11990,ALSA MARINE & HARVESTS LTD.,2.7,0.0
12007,G E T & D INDIA LTD.,42492.1,0.024355115421454816
12011,G E POWER INDIA LTD.,31835.6,0.05771212102174924
12108,ALUFLUORIDE LTD.,168.6,0.04626334519572954
12131,ALUMINIUM INDUSTRIES LTD.,170.8,-0.7400468384074941
12258,AMAL LTD.,78.7,0.0012706480304955528
12281,AMALGAMATED ELECTRICITY CO. LTD.,9.0,-0.05555555555555555
12379,AMANI TRADING & EXPORTS LTD.,21.3,0.023474178403755867
12506,AMAR VANIJYA LTD.,43.3,0.011547344110854504
12517,AMARA RAJA BATTERIES LTD.,13588.2,0.21199275842274914
12577,AMARJOTHI SPINNING MILLS LTD.,1504.7,0.07456635874260649
12616,AMARNATH SECURITIES LTD.,30.4,0.0032894736842105266
12761,SCAN PROJECTS LTD.,49.1,0.10794297352342158
12774,AMBALAL SARABHAI ENTERPRISES LTD.,1974.7,-0.08497493290120017
12933,AMBICA AGARBATHIES AROMA & INDS. LTD.,1064.7,0.012116089039165962
13029,AMBIKA COTTON MILLS LTD.,4433.4,0.06987864844137683
13096,AMBITIOUS PLASTOMAC CO. LTD.,36.5,-0.5095890410958904
13188,AMCO INDIA LTD.,747.3,0.12257460190017395
13398,AMFORGE INDUSTRIES LTD.,285.0,-0.03684210526315789
13499,AMINES & PLASTICIZERS LTD.,1210.7,0.026018006112166515
13560,AMISON FOODS LTD.,0.7,-0.14285714285714288
13637,AMIT INTERNATIONAL LTD.,217.7,-0.043638033991731745
13702,AMIT SECURITIES LTD.,98.5,0.005076142131979695
13711,AMIT SPINNING INDS. LTD.,771.2,-0.03954875518672199
13993,AMRAPALI CAPITAL & FINANCE SERVICES LTD.,778.9,0.0021825651559892155
14039,AMRIT CORP. LTD.,1589.1,0.05405575482977787
14050,AMRIT BANASPATI CO. LTD.,2114.0,0.014380321665089877
14204,AMRUTANJAN HEALTH CARE LTD.,1257.0,0.09761336515513126
14250,AMRADEEP INDUSTRIES LTD.,92.9,-0.003229278794402583
14268,AMTEK AUTO LTD.,96206.1,0.06704876302022429
14271,CASTEX TECHNOLOGIES LTD.,53611.5,0.039232254273803197
14299,JOHNSON CONTROLS-HITACHI AIR CONDITIONING INDIA LTD.,5998.2,0.025591010636524292
14344,AMULYA LEASING & FINANCE LTD.,87.7,0.04104903078677309
14379,AMZEL LTD.,53.7,-0.0595903165735568
14464,VIPUL LTD.,10006.3,0.01672946043992285
14520,ANAN DRUG & CHEM LTD.,56.4,0.010638297872340425
14582,ANAND CREDIT LTD.,74.2,-0.026954177897574122
14592,ANAND PROJECTS LTD.,2308.6,0.06168240492073118
14658,GENERA AGRI CORP LTD.,691.8,0.13660017346053774
14663,OZONE WORLD LTD.,47.7,0.04612159329140461
14801,BALAXI VENTURES LTD.,11.8,0.03389830508474576
14897,ANANT RAJ LTD.,50659.8,0.019684246680800162
14967,ANANTHI CONSTRUCTIONS LTD.,12.6,-0.753968253968254
15081,SHIKHAR LEASING & TRADING LTD.,67.1,0.15052160953800298
15214,ANDHRA BANK,1245782.3,0.01035180865870385
15222,ANDHRA CEMENTS LTD.,8789.5,-0.02352807326924171
15246,ANDHRA PETROCHEMICALS LTD.,3239.7,0.012840695126091923
